epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,138.151,1.78472,1.0151,0.51354,1.49658,1.64112,0.81509,0.79313,0.84999,0.45629,0.8038,0.80444,0.80531,0.68444,1.80968,1.11522,0.19643,3.91364,2.05798,0.00133178,0.00133178,0.00133178
28,142.141,1.69008,0.71023,0.47188,1.34202,1.59744,0.77756,0.80275,0.84087,0.35279,0.76889,0.80343,0.83021,0.68293,2.20678,1.53982,0.24062,2.71724,2.56113,0.00131888,0.00131888,0.00131888
29,145.882,1.80366,0.95586,0.5256,1.44556,1.66489,0.89732,0.84375,0.84447,0.38914,0.85007,0.8125,0.80068,0.67403,2.07939,1.97822,0.3026,2.36283,2.31503,0.00130599,0.00130599,0.00130599
30,149.599,1.80698,0.75222,0.50539,1.45944,1.65694,0.86105,0.75,0.76616,0.3896,0.82821,0.71875,0.74285,0.62987,1.69167,1.6286,0.32767,1.89704,1.89373,0.0012931,0.0012931,0.0012931
31,153.971,1.67561,1.05502,0.49998,1.43981,1.55057,0.87869,0.80398,0.77473,0.38763,0.84838,0.77396,0.73402,0.5548,1.80635,1.92289,0.34329,1.69617,1.8155,0.0012802,0.0012802,0.0012802
32,159.405,1.61769,0.91652,0.5019,1.38479,1.54102,0.94654,0.875,0.89078,0.45956,0.91605,0.84375,0.8255,0.72624,1.53193,1.23317,0.19641,2.0217,1.78606,0.00126731,0.00126731,0.00126731
33,163.424,1.57097,0.74998,0.46474,1.26491,1.51366,0.99097,0.97134,0.995,0.49511,0.92941,0.9105,0.89363,0.79264,1.65981,1.15129,0.17028,1.48943,1.93515,0.00125442,0.00125442,0.00125442
34,167.325,1.68417,0.9137,0.43542,1.35562,1.60102,0.87371,0.96875,0.93786,0.52439,0.84459,0.9375,0.89226,0.84641,1.45578,0.98475,0.14833,1.41199,1.83833,0.00124152,0.00124152,0.00124152
35,171.203,1.59414,0.87861,0.44647,1.30214,1.52177,0.87397,0.96875,0.93856,0.45865,0.83985,0.9375,0.87165,0.81744,1.58224,1.01098,0.14586,1.75834,1.92952,0.00122863,0.00122863,0.00122863
36,175.114,1.58258,0.89432,0.43588,1.30736,1.56671,0.7686,0.9375,0.92518,0.46683,0.7303,0.90625,0.81848,0.77855,1.75461,1.24677,0.26793,2.02341,1.95533,0.00121574,0.00121574,0.00121574
