epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,528.692,1.24759,0.41629,0.23294,0.86547,1.31783,0.94997,0.99672,0.975,0.66065,0.93215,0.9375,0.89663,0.88723,1.1355,0.82,0.06483,0.65534,1.44983,0.000261641,0.000261641,0.000261641
111,532.584,1.28254,0.48433,0.18484,0.88228,1.30562,0.94975,0.99685,0.975,0.66765,0.93262,0.9375,0.88813,0.87879,1.14301,0.82375,0.06518,0.64913,1.46217,0.000248748,0.000248748,0.000248748
112,536.471,1.32778,0.38388,0.24954,1.04287,1.40037,0.96318,0.96875,0.95892,0.64253,0.93215,0.9375,0.89458,0.8893,1.15052,0.83095,0.06586,0.65425,1.48095,0.000235854,0.000235854,0.000235854
113,540.271,1.30272,0.39181,0.19889,0.92545,1.34827,0.96297,0.96875,0.95611,0.63781,0.93194,0.9375,0.89822,0.89294,1.17363,0.84818,0.07006,0.66662,1.48892,0.000222961,0.000222961,0.000222961
114,544.197,1.30947,0.45263,0.21441,0.91308,1.31575,0.96253,0.96875,0.95423,0.65007,0.93144,0.9375,0.90072,0.89816,1.19043,0.84636,0.0712,0.65998,1.49331,0.000210068,0.000210068,0.000210068
115,548.265,1.33126,0.46325,0.21232,0.96825,1.37511,0.96236,0.96875,0.96017,0.65602,0.93138,0.9375,0.90072,0.89834,1.21094,0.84724,0.07171,0.6522,1.50763,0.000197175,0.000197175,0.000197175
116,552.293,1.29644,0.27823,0.16933,0.9096,1.32836,0.96156,0.96875,0.95934,0.65276,0.93064,0.9375,0.89822,0.89083,1.20781,0.83043,0.06456,0.64175,1.52053,0.000184282,0.000184282,0.000184282
117,555.962,1.23107,0.44146,0.20749,0.88292,1.31438,0.9615,0.96875,0.96017,0.65144,0.93045,0.9375,0.89097,0.88059,1.20998,0.82804,0.06166,0.64235,1.52805,0.000171388,0.000171388,0.000171388
118,559.819,1.31564,0.38979,0.1823,0.95105,1.33025,0.96215,0.96875,0.96837,0.66469,0.9312,0.9375,0.88031,0.87094,1.19805,0.82659,0.0605,0.64574,1.51737,0.000158495,0.000158495,0.000158495
119,570.361,1.29276,0.58494,0.19867,0.85113,1.42125,0.96246,0.96875,0.97431,0.68882,0.93148,0.9375,0.88031,0.87477,1.19683,0.82955,0.05994,0.65301,1.50911,0.000145602,0.000145602,0.000145602
120,575.042,1.22837,0.51247,0.15828,0.8329,1.40162,0.96337,0.96875,0.97229,0.66831,0.93231,0.9375,0.88031,0.87453,1.21869,0.8334,0.05896,0.66745,1.53417,0.000132709,0.000132709,0.000132709
121,578.834,1.20033,0.49154,0.15141,0.80464,1.36109,0.9478,0.99682,0.97676,0.66199,0.93207,0.9375,0.88031,0.87097,1.22108,0.83698,0.05718,0.67449,1.53835,0.000119816,0.000119816,0.000119816
122,582.562,1.2493,0.48189,0.16085,0.78686,1.41887,0.94819,0.99691,0.98029,0.66006,0.9317,0.9375,0.88031,0.86487,1.23344,0.84592,0.05577,0.67513,1.55085,0.000106922,0.000106922,0.000106922
123,586.414,1.24026,0.41459,0.16626,0.79055,1.39522,0.94846,0.99694,0.97676,0.65684,0.93174,0.9375,0.88031,0.86093,1.24272,0.85176,0.05456,0.67599,1.56547,9.40292e-05,9.40292e-05,9.40292e-05
124,590.353,1.21421,0.44256,0.15452,0.76395,1.41269,0.94838,0.997,0.97676,0.65671,0.93229,0.9375,0.88031,0.85905,1.22709,0.85316,0.05218,0.66554,1.5592,8.1136e-05,8.1136e-05,8.1136e-05
125,594.17,1.2333,0.42286,0.1669,0.77969,1.41491,0.94765,0.99701,0.975,0.66224,0.93262,0.9375,0.88031,0.85964,1.22404,0.84984,0.052,0.65879,1.55713,6.82428e-05,6.82428e-05,6.82428e-05
126,597.968,1.19187,0.47008,0.13531,0.76955,1.34321,0.94737,0.99703,0.975,0.66315,0.93255,0.9375,0.88031,0.86351,1.22679,0.84512,0.05198,0.65218,1.55636,5.53496e-05,5.53496e-05,5.53496e-05
127,601.761,1.17726,0.46955,0.13585,0.75748,1.39116,0.94714,0.9971,0.975,0.66284,0.93225,0.9375,0.88031,0.86713,1.22345,0.84038,0.05241,0.64412,1.5512,4.24564e-05,4.24564e-05,4.24564e-05
128,605.8,1.20743,0.39785,0.12977,0.76426,1.36347,0.99429,1,0.995,0.67393,0.93213,0.9375,0.88031,0.86776,1.21575,0.824,0.05161,0.6289,1.54223,2.95632e-05,2.95632e-05,2.95632e-05
